!Note: First column is hrs from 12:00 UTC 21 Sep 2014; Second column is grain size class (micron); Third column is volumeric concentration (10**-2 ml/l) for each grain size class
     0.577     4.480    0.12161
     0.577     5.290    0.16035
     0.577     6.240    0.18516
     0.577     7.360    0.21997
     0.577     8.690    0.29531
     0.577    10.200    0.32823
     0.577    12.100    0.34832
     0.577    14.300    0.44448
     0.577    16.800    0.53603
     0.577    19.900    0.54669
     0.577    23.500    0.49831
     0.577    27.700    0.46780
     0.577    32.700    0.47505
     0.577    38.500    0.49584
     0.577    45.500    0.48718
     0.577    53.700    0.46922
     0.577    63.300    0.44836
     0.577    74.700    0.42097
     0.577    88.200    0.34203
     0.577   104.000    0.22713
     0.577   128.000    0.11472
     0.577   157.000    0.05277
     0.577   186.000    0.02370
     0.577   219.000    0.01143
     0.577   259.000    0.00587
     0.577   293.000    0.00460
     0.577   332.000    0.00277
     0.577   391.000    0.00000
     0.577   462.000    0.00000
     0.659     2.730    0.07848
     0.659     3.220    0.08886
     0.659     3.800    0.10834
     0.659     4.480    0.13744
     0.659     5.290    0.17608
     0.659     6.240    0.21608
     0.659     7.360    0.25517
     0.659     8.690    0.30165
     0.659    10.200    0.34042
     0.659    12.100    0.39773
     0.659    14.300    0.46935
     0.659    16.800    0.50785
     0.659    19.900    0.53830
     0.659    23.500    0.52911
     0.659    27.700    0.53000
     0.659    32.700    0.56906
     0.659    38.500    0.61899
     0.659    45.500    0.66625
     0.659    53.700    0.69011
     0.659    63.300    0.69652
     0.659    74.700    0.69026
     0.659    88.200    0.63787
     0.659   104.000    0.51905
     0.659   128.000    0.37622
     0.659   157.000    0.26941
     0.659   186.000    0.18566
     0.659   219.000    0.11119
     0.659   259.000    0.06837
     0.659   293.000    0.04860
     0.659   332.000    0.04890
     0.659   391.000    0.05394
     0.659   462.000    0.02916
     0.741     2.730    0.07405
     0.741     3.220    0.08477
     0.741     3.800    0.10418
     0.741     4.480    0.13289
     0.741     5.290    0.16968
